Time,Voltage,S,Current,S_in
463,-1.425,1.0,-0.00015649999999999993,1.0
464,-1.45,1.0,-0.00015667000000000008,1.0
465,-1.475,1.0,-0.00016550000000000004,1.0
466,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
467,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
468,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
469,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
470,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
471,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
472,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
473,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
474,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
475,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
476,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
477,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
478,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
479,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
480,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
481,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
482,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
483,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
484,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
485,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
486,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
487,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
488,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
489,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
490,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
491,-1.5000000000000002,1.0,-0.00019300000000000008,1.0
492,-1.475,1.0,-0.00016550000000000004,1.0
493,-1.45,1.0,-0.00015667000000000008,1.0
494,-1.425,1.0,-0.00015649999999999993,1.0
495,-1.4,1.0,-0.000154,1.0
496,-1.3749999999999998,1.0,-0.00014583,1.0
497,-1.35,1.0,-0.00014499999999999995,1.0
498,-1.325,1.0,-0.00014000000000000004,1.0
499,-1.3,1.0,-0.00013767000000000006,1.0
500,-1.275,1.0,-0.0001325,1.0
501,-1.25,1.0,-0.00012533000000000002,1.0
502,-1.225,1.0,-0.00011899999999999995,1.0
503,-1.2,1.0,-0.00011400000000000005,1.0
504,-1.175,1.0,-0.00011066999999999998,1.0
505,-1.15,1.0,-0.00010667000000000003,1.0
506,-1.125,1.0,-0.00010215000000000003,1.0
507,-1.1,1.0,-9.779999999999991e-05,1.0
508,-1.075,1.0,-9.41e-05,1.0
509,-1.05,1.0,-9.059999999999991e-05,1.0
510,-1.025,1.0,-8.718299999999991e-05,1.0
511,-1.0,1.0,-8.450000000000006e-05,1.0
512,-0.975,1.0,-8.140000000000007e-05,1.0
513,-0.95,1.0,-7.883300000000002e-05,1.0
514,-0.9250000000000002,1.0,-7.724999999999998e-05,1.0
515,-0.9,1.0,-7.400000000000001e-05,1.0
516,-0.875,1.0,-7.108300000000005e-05,1.0
517,-0.85,1.0,-6.750000000000006e-05,1.0
518,-0.825,1.0,-6.564999999999997e-05,1.0
519,-0.8,1.0,-6.356699999999997e-05,1.0
520,-0.775,1.0,-6.019999999999997e-05,1.0
521,-0.7500000000000001,1.0,-6.0699999999999985e-05,1.0
522,-0.725,1.0,-5.7949999999999986e-05,1.0
523,-0.7,1.0,-5.486699999999999e-05,1.0
524,-0.675,1.0,-5.334999999999997e-05,1.0
525,-0.6499999999999999,1.0,-5.226700000000005e-05,1.0
526,-0.625,1.0,-5.0232999999999985e-05,1.0
527,-0.6,1.0,-4.8399999999999984e-05,1.0
528,-0.5749999999999998,1.0,-4.3900000000000044e-05,1.0
529,-0.55,1.0,-4.233299999999999e-05,1.0
530,-0.5249999999999999,1.0,-3.9949999999999975e-05,1.0
531,-0.5,1.0,-3.6933e-05,1.0
532,-0.475,1.0,-3.4666999999999985e-05,1.0
533,-0.4499999999999999,1.0,-3.299999999999997e-05,1.0
534,-0.425,1.0,-3.0417000000000014e-05,1.0
535,-0.4,1.0,-2.9232999999999976e-05,1.0
536,-0.3750000000000001,1.0,-2.7350000000000007e-05,1.0
537,-0.3500000000000001,1.0,-2.496699999999997e-05,1.0
538,-0.325,1.0,-2.269999999999999e-05,1.0
539,-0.3,1.0,-1.9699999999999974e-05,1.0
540,-0.275,1.0,-1.703299999999999e-05,1.0
541,-0.2499999999999999,1.0,-1.4767e-05,1.0
542,-0.22499999999999995,1.0,-1.295e-05,1.0
543,-0.2,1.0,-1.1306999999999975e-05,1.0
544,-0.17500000000000004,1.0,-9.558300000000017e-06,1.0
545,-0.15000000000000008,1.0,-7.750000000000005e-06,1.0
546,-0.12499999999999994,1.0,-6.666700000000006e-06,1.0
547,-0.09999999999999984,1.0,-5.496699999999994e-06,1.0
548,-0.07500000000000004,1.0,-4.194999999999997e-06,1.0
549,-0.049999999999999926,1.0,-2.890000000000003e-06,1.0
550,-0.025000000000000112,1.0,-1.5832e-06,1.0
551,0.0,1.0,1.510000000000001e-07,1.0
552,0.0,1.0,1.510000000000001e-07,1.0
553,0.0,1.0,1.510000000000001e-07,1.0
554,0.0,1.0,1.510000000000001e-07,1.0
555,0.0,1.0,1.510000000000001e-07,1.0
556,0.0,1.0,1.510000000000001e-07,1.0
557,0.0,1.0,1.510000000000001e-07,1.0
558,0.0,1.0,1.510000000000001e-07,1.0
559,0.0,1.0,1.510000000000001e-07,1.0
560,0.0,1.0,1.510000000000001e-07,1.0
561,0.0,1.0,1.510000000000001e-07,1.0
562,0.0,1.0,1.510000000000001e-07,1.0
563,0.0,1.0,1.510000000000001e-07,1.0
564,0.0,1.0,1.510000000000001e-07,1.0
565,0.0,1.0,1.510000000000001e-07,1.0
566,0.0,1.0,1.510000000000001e-07,1.0
567,0.0,1.0,1.510000000000001e-07,1.0
568,0.0,1.0,1.510000000000001e-07,1.0
569,0.0,1.0,1.510000000000001e-07,1.0
570,0.0,1.0,1.510000000000001e-07,1.0
571,0.0,1.0,1.510000000000001e-07,1.0
572,0.0,1.0,1.510000000000001e-07,1.0
573,0.0,1.0,1.510000000000001e-07,1.0
574,0.0,1.0,1.510000000000001e-07,1.0
575,0.0,1.0,1.510000000000001e-07,1.0
576,0.0,1.0,1.510000000000001e-07,1.0
577,-0.025000000000000112,1.0,-1.5832e-06,1.0
578,-0.049999999999999926,1.0,-2.890000000000003e-06,1.0
579,-0.07500000000000004,1.0,-4.194999999999997e-06,1.0
580,-0.09999999999999984,1.0,-5.496699999999994e-06,1.0
581,-0.12499999999999994,1.0,-6.666700000000006e-06,1.0
582,-0.15000000000000008,1.0,-7.750000000000005e-06,1.0
583,-0.17500000000000004,1.0,-9.558300000000017e-06,1.0
584,-0.2,1.0,-1.1306999999999975e-05,1.0
585,-0.22499999999999995,1.0,-1.295e-05,1.0
